Position,EPC,σ(PC),V(R),R-L,L-M,M-H,Description
3035211,62.65,10.16,1.05,0.79,1.05,1.42,Low
3035220,65.15,10.12,1.02,0.82,1.10,1.48,Low
3035301,63.57,10.21,1.06,0.80,1.07,1.44,Low
3035310,65.52,10.19,1.04,0.83,1.11,1.49,Low
3035400,66.63,10.35,1.08,0.84,1.13,1.52,Low
3036003,59.72,10.37,1.14,0.75,0.99,1.34,Medium
3036012,61.98,10.45,1.15,0.78,1.04,1.40,Medium
3036021,64.6,10.47,1.14,0.82,1.09,1.47,Medium
3036030,67.48,10.57,1.14,0.85,1.15,1.54,Low
3036102,62,10.52,1.17,0.78,1.04,1.40,Medium
3036111,64.16,10.56,1.17,0.81,1.08,1.45,Medium
3036120,66.7,10.56,1.14,0.84,1.13,1.52,Medium
3036201,64.68,10.57,1.16,0.82,1.09,1.47,Medium
3036210,66.64,10.58,1.15,0.84,1.13,1.52,Medium
3036300,67.51,10.66,1.17,0.86,1.15,1.54,Medium
3037002,63.89,10.76,1.23,0.81,1.08,1.45,Medium
3037011,66.15,10.84,1.24,0.84,1.12,1.50,Medium
3037020,68.74,10.89,1.23,0.87,1.17,1.57,Medium
3037101,66.19,10.87,1.25,0.84,1.12,1.50,Medium
3037110,68.29,10.97,1.26,0.87,1.17,1.56,Medium
3037200,68.74,11,1.27,0.87,1.17,1.57,Medium
3038001,68.09,11.13,1.32,0.86,1.16,1.55,Medium
3038010,70.36,11.24,1.34,0.89,1.21,1.61,Medium
3038100,70.36,11.29,1.36,0.89,1.21,1.61,Medium
3039000,72.33,11.5,1.41,0.92,1.25,1.66,Medium
3040008,41.68,9.09,0.91,0.52,0.63,0.89,High
3040017,43.94,9.01,0.87,0.55,0.68,0.95,Medium
3040026,46.72,8.98,0.84,0.59,0.73,1.02,Medium
3040035,49.8,9.09,0.85,0.63,0.80,1.10,Medium
3040044,53.01,9.33,0.89,0.67,0.86,1.18,Medium
3040053,56.33,9.56,0.93,0.71,0.93,1.26,Medium
3040062,59.72,9.81,0.97,0.75,0.99,1.34,Low
3040071,63.17,10.04,1.01,0.80,1.06,1.43,Low
3040080,66.64,10.29,1.06,0.84,1.13,1.52,Low
3040107,44.14,9.19,0.92,0.55,0.68,0.95,Medium
3040116,46.35,9.14,0.89,0.58,0.73,1.01,Medium
3040125,49.13,9.11,0.86,0.62,0.78,1.08,Medium
3040134,52.16,9.21,0.86,0.66,0.84,1.15,Medium
3040143,55.37,9.43,0.9,0.70,0.91,1.23,Low
3040152,58.65,9.66,0.94,0.74,0.97,1.32,Low
3040161,62.07,9.91,0.98,0.79,1.04,1.40,Low
3040170,65.48,10.14,1.02,0.83,1.11,1.49,Low
3040206,46.97,9.22,0.9,0.59,0.74,1.02,Medium
3040215,49.2,9.2,0.88,0.62,0.78,1.08,Medium
3040224,51.92,9.15,0.85,0.65,0.84,1.15,Medium
3040233,54.97,9.26,0.85,0.69,0.90,1.22,Low
3040242,58.11,9.45,0.88,0.73,0.96,1.30,Low
3040251,61.44,9.71,0.93,0.78,1.03,1.39,Low
3040260,64.77,9.93,0.97,0.82,1.10,1.47,Low
3040305,50.22,9.27,0.89,0.63,0.80,1.11,Medium
3040314,52.37,9.25,0.87,0.66,0.85,1.16,Medium
3040323,55.09,9.27,0.85,0.70,0.90,1.23,Low
3040332,58.08,9.34,0.85,0.73,0.96,1.30,Low
3040341,61.28,9.56,0.89,0.78,1.03,1.38,Low
3040350,64.51,9.77,0.92,0.82,1.09,1.46,Low
3040404,53.54,9.47,0.92,0.68,0.87,1.19,Medium
3040413,55.75,9.48,0.91,0.70,0.92,1.24,Low
3040422,58.4,9.46,0.88,0.74,0.97,1.31,Low
3040431,61.41,9.57,0.89,0.78,1.03,1.39,Low
3040440,64.51,9.74,0.91,0.82,1.09,1.46,Low
3040503,57.08,9.71,0.96,0.72,0.94,1.28,Medium
3040512,59.2,9.71,0.95,0.75,0.98,1.33,Low
3040521,61.85,9.75,0.94,0.78,1.04,1.40,Low
3040530,64.77,9.81,0.93,0.82,1.10,1.47,Low
3040602,60.6,9.98,1.01,0.77,1.01,1.37,Low
3040611,62.79,10,1.01,0.79,1.06,1.42,Low
3040620,65.36,9.99,0.98,0.83,1.11,1.48,Low
3040701,64.31,10.22,1.06,0.81,1.09,1.46,Low
3040710,66.39,10.25,1.05,0.84,1.13,1.51,Low
3040800,67.93,10.51,1.12,0.86,1.16,1.55,Low
3041007,44.84,9.34,0.96,0.56,0.70,0.97,Medium
3041016,47.06,9.27,0.92,0.59,0.74,1.03,Medium
3041025,49.8,9.23,0.88,0.63,0.80,1.10,Medium
3041034,52.84,9.36,0.9,0.67,0.86,1.17,Medium
3041043,56.03,9.55,0.93,0.71,0.92,1.25,Medium
3041052,59.33,9.81,0.97,0.75,0.99,1.33,Low
3041061,62.72,10.02,1.01,0.79,1.05,1.42,Low
3041070,66.16,10.28,1.06,0.84,1.12,1.50,Low
3041106,47.22,9.5,0.98,0.59,0.74,1.03,Medium
3041115,49.43,9.43,0.94,0.62,0.79,1.09,Medium
3041124,52.14,9.36,0.9,0.66,0.84,1.15,Medium
3041133,55.15,9.5,0.92,0.70,0.90,1.23,Medium
3041142,58.31,9.66,0.94,0.74,0.97,1.31,Low
3041151,61.61,9.94,1,0.78,1.03,1.39,Low
3041160,64.98,10.12,1.02,0.82,1.10,1.47,Low
3041205,50.07,9.48,0.95,0.63,0.80,1.10,Medium
3041214,52.16,9.43,0.92,0.66,0.84,1.15,Medium
3041223,54.88,9.46,0.91,0.69,0.90,1.22,Medium
3041232,57.86,9.49,0.89,0.73,0.96,1.30,Low
3041241,61.03,9.74,0.94,0.77,1.02,1.38,Low
3041250,64.29,9.91,0.96,0.81,1.09,1.46,Low
3041304,53.12,9.55,0.95,0.67,0.86,1.18,Medium
3041313,55.33,9.51,0.92,0.70,0.91,1.23,Medium
3041322,57.96,9.47,0.89,0.73,0.96,1.30,Low
3041331,60.96,9.61,0.9,0.77,1.02,1.37,Low
3041340,64.08,9.75,0.92,0.81,1.08,1.45,Low
3041403,56.51,9.67,0.96,0.71,0.93,1.26,Medium
3041412,58.6,9.67,0.94,0.74,0.97,1.32,Low
3041421,61.28,9.71,0.93,0.78,1.03,1.38,Low
3041430,64.21,9.74,0.92,0.81,1.08,1.46,Low
3041502,59.87,9.92,1,0.76,1.00,1.35,Medium
3041511,62.09,9.92,0.99,0.79,1.04,1.40,Low
3041520,64.65,9.91,0.96,0.82,1.09,1.47,Low
3041601,63.51,10.12,1.04,0.80,1.07,1.44,Low
3041610,65.56,10.17,1.03,0.83,1.11,1.49,Low
3041700,67.04,10.42,1.1,0.85,1.14,1.53,Low
3042006,48.3,9.6,1,0.61,0.77,1.06,Medium
3042015,50.46,9.48,0.95,0.64,0.81,1.11,Medium
3042024,53.17,9.45,0.92,0.67,0.86,1.18,Medium
3042033,56.15,9.53,0.92,0.71,0.92,1.25,Low
3042042,59.32,9.74,0.95,0.75,0.99,1.33,Low
3042051,62.59,9.96,0.99,0.79,1.05,1.41,Low
3042060,65.97,10.2,1.04,0.84,1.12,1.50,Low
3042105,50.69,9.68,1.01,0.64,0.81,1.12,Medium
3042114,52.76,9.61,0.97,0.67,0.86,1.17,Medium
3042123,55.45,9.6,0.94,0.70,0.91,1.24,Medium
3042132,58.4,9.64,0.93,0.74,0.97,1.31,Low
3042141,61.54,9.87,0.97,0.78,1.03,1.39,Low
3042150,64.8,10.04,1,0.82,1.10,1.47,Low
3042204,53.34,9.75,1,0.67,0.87,1.18,Medium
3042213,55.49,9.66,0.96,0.70,0.91,1.24,Medium
3042222,58.08,9.58,0.92,0.73,0.96,1.30,Low
3042231,61.05,9.72,0.93,0.77,1.02,1.38,Low
3042240,64.15,9.82,0.94,0.81,1.08,1.45,Low
3042303,56.46,9.71,0.97,0.71,0.93,1.26,Medium
3042312,58.49,9.68,0.94,0.74,0.97,1.31,Low
3042321,61.15,9.68,0.92,0.77,1.02,1.38,Low
3042330,64.04,9.69,0.9,0.81,1.08,1.45,Low
3042402,59.63,9.88,0.99,0.75,0.99,1.34,Low
3042411,61.81,9.83,0.96,0.78,1.04,1.40,Low
3042420,64.34,9.79,0.93,0.81,1.09,1.46,Low
3042501,63.09,10.02,1.01,0.80,1.06,1.43,Low
3042510,65.13,10.05,1,0.82,1.10,1.48,Low
3042600,66.52,10.29,1.06,0.84,1.13,1.51,Low
3043005,52.01,9.79,1.03,0.66,0.84,1.15,Medium
3043014,54.18,9.73,0.99,0.68,0.88,1.20,Medium
3043023,56.81,9.68,0.96,0.72,0.94,1.27,Medium
3043032,59.78,9.77,0.96,0.76,1.00,1.34,Low
3043041,62.9,9.94,0.98,0.80,1.06,1.42,Low
3043050,66.16,10.19,1.03,0.84,1.12,1.50,Low
3043104,54.33,9.96,1.06,0.69,0.89,1.21,Medium
3043113,56.44,9.87,1.01,0.71,0.93,1.26,Medium
3043122,59.04,9.8,0.97,0.75,0.98,1.33,Low
3043131,61.96,9.9,0.98,0.78,1.04,1.40,Low
3043140,65.05,10.04,1,0.82,1.10,1.48,Low
3043203,57.05,9.94,1.03,0.72,0.94,1.28,Medium
3043212,59.03,9.89,1,0.75,0.98,1.33,Medium
3043221,61.64,9.86,0.97,0.78,1.03,1.39,Low
3043230,64.5,9.86,0.95,0.82,1.09,1.46,Low
3043302,59.97,9.99,1.02,0.76,1.00,1.35,Medium
3043311,62.06,9.9,0.98,0.79,1.04,1.40,Low
3043320,64.55,9.84,0.94,0.82,1.09,1.46,Low
3043401,63.19,10.04,1.01,0.80,1.06,1.43,Low
3043410,65.19,10.03,0.99,0.83,1.10,1.48,Low
3043500,66.47,10.24,1.05,0.84,1.13,1.51,Low
3044004,55.88,10.11,1.09,0.71,0.92,1.25,Medium
3044013,58.04,10.06,1.06,0.73,0.96,1.30,Medium
3044022,60.66,10.04,1.03,0.77,1.01,1.37,Medium
3044031,63.56,10.09,1.03,0.80,1.07,1.44,Low
3044040,66.66,10.28,1.06,0.84,1.13,1.52,Low
3044103,58.21,10.22,1.11,0.74,0.96,1.31,Medium
3044112,60.26,10.19,1.08,0.76,1.01,1.36,Medium
3044121,62.83,10.16,1.05,0.79,1.06,1.42,Low
3044130,65.7,10.2,1.04,0.83,1.11,1.49,Low
3044202,60.79,10.3,1.11,0.77,1.02,1.37,Medium
3044211,62.85,10.22,1.07,0.80,1.06,1.42,Medium
3044220,65.33,10.15,1.03,0.83,1.11,1.48,Low
3044301,63.76,10.28,1.08,0.81,1.08,1.44,Medium
3044310,65.71,10.24,1.05,0.83,1.11,1.49,Low
3044400,66.83,10.4,1.09,0.85,1.14,1.52,Low
3045003,59.84,10.43,1.16,0.76,1.00,1.35,Medium
3045012,62.03,10.43,1.14,0.78,1.04,1.40,Medium
3045021,64.59,10.42,1.12,0.82,1.09,1.46,Medium
3045030,67.48,10.49,1.12,0.85,1.15,1.54,Low
3045102,62.12,10.6,1.19,0.79,1.04,1.40,Medium
3045111,64.22,10.57,1.17,0.81,1.08,1.46,Medium
3045120,66.74,10.53,1.14,0.85,1.13,1.52,Medium
3045201,64.76,10.63,1.18,0.82,1.10,1.47,Medium
3045210,66.7,10.61,1.16,0.84,1.13,1.52,Medium
3045300,67.58,10.7,1.18,0.86,1.15,1.54,Medium
3046002,63.9,10.78,1.24,0.81,1.08,1.45,Medium
3046011,66.08,10.81,1.23,0.84,1.12,1.50,Medium
3046020,68.64,10.82,1.21,0.87,1.17,1.57,Medium
3046101,66.19,10.91,1.26,0.84,1.12,1.50,Medium
3046110,68.25,10.95,1.26,0.86,1.17,1.56,Medium
3046200,68.72,11.03,1.28,0.87,1.17,1.57,Medium
3047001,68.01,11.13,1.32,0.86,1.16,1.55,Medium
3047010,70.23,11.19,1.32,0.89,1.20,1.61,Medium
3047100,70.28,11.29,1.36,0.89,1.21,1.61,Medium
3048000,72.2,11.48,1.4,0.92,1.24,1.66,Medium
3050007,46.33,9.59,1.01,0.58,0.73,1.01,High
3050016,48.56,9.53,0.98,0.61,0.77,1.06,Medium
3050025,51.28,9.49,0.95,0.65,0.83,1.13,Medium
3050034,54.3,9.59,0.95,0.69,0.89,1.21,Medium
3050043,57.47,9.78,0.98,0.73,0.95,1.29,Medium
3050052,60.76,10.01,1.02,0.77,1.02,1.37,Medium
3050061,64.14,10.24,1.07,0.81,1.08,1.45,Low
3050070,67.58,10.47,1.11,0.86,1.15,1.54,Low
3050106,48.75,9.76,1.04,0.61,0.78,1.07,Medium
3050115,50.97,9.72,1.01,0.64,0.82,1.12,Medium
3050124,53.65,9.66,0.98,0.68,0.87,1.19,Medium
3050133,56.66,9.75,0.98,0.72,0.93,1.27,Medium
3050142,59.8,9.93,1.01,0.76,1.00,1.35,Medium
3050151,63.09,10.16,1.05,0.80,1.06,1.43,Low
3050160,66.44,10.37,1.09,0.84,1.13,1.51,Low
3050205,51.55,9.78,1.03,0.65,0.83,1.14,Medium
3050214,53.72,9.76,1,0.68,0.87,1.19,Medium
3050223,56.41,9.73,0.98,0.71,0.93,1.26,Medium
3050232,59.36,9.8,0.97,0.75,0.99,1.33,Low
3050241,62.53,9.99,1,0.79,1.05,1.41,Low
3050250,65.75,10.19,1.04,0.83,1.12,1.49,Low
3050304,54.65,9.81,1.01,0.69,0.89,1.22,Medium
3050313,56.85,9.83,1,0.72,0.94,1.27,Medium
3050322,59.48,9.8,0.97,0.75,0.99,1.34,Low
3050331,62.46,9.88,0.97,0.79,1.05,1.41,Low
3050340,65.55,10.04,0.99,0.83,1.11,1.49,Low
3050403,58,9.97,1.03,0.73,0.96,1.30,Medium
3050412,60.14,9.96,1.01,0.76,1.00,1.35,Medium
3050421,62.78,9.99,1,0.79,1.06,1.42,Low
3050430,65.68,10.04,0.99,0.83,1.11,1.49,Low
3050502,61.4,10.18,1.07,0.78,1.03,1.39,Medium
3050511,63.58,10.22,1.06,0.80,1.07,1.44,Low
3050520,66.15,10.2,1.04,0.84,1.12,1.50,Low
3050601,64.98,10.41,1.11,0.82,1.10,1.47,Medium
3050610,67.08,10.43,1.1,0.85,1.14,1.53,Low
3050700,68.55,10.67,1.16,0.87,1.17,1.56,Low
3051006,49.44,9.88,1.07,0.62,0.79,1.09,Medium
3051015,51.59,9.8,1.03,0.65,0.83,1.14,Medium
3051024,54.27,9.76,1,0.68,0.89,1.21,Medium
3051033,57.25,9.83,1,0.72,0.95,1.28,Medium
3051042,60.4,10.02,1.03,0.76,1.01,1.36,Medium
3051051,63.67,10.23,1.07,0.81,1.07,1.44,Low
3051060,67.04,10.46,1.11,0.85,1.14,1.53,Low
3051105,51.84,10,1.09,0.65,0.84,1.15,Medium
3051114,53.95,9.97,1.06,0.68,0.88,1.20,Medium
3051123,56.62,9.94,1.04,0.72,0.93,1.27,Medium
3051132,59.57,9.96,1.02,0.75,0.99,1.34,Medium
3051141,62.7,10.15,1.05,0.79,1.05,1.42,Low
3051150,65.95,10.33,1.08,0.84,1.12,1.50,Low
3051204,54.52,10.08,1.09,0.69,0.89,1.21,Medium
3051213,56.68,10.03,1.06,0.72,0.93,1.27,Medium
3051222,59.29,9.98,1.02,0.75,0.99,1.33,Medium
3051231,62.24,10.06,1.03,0.79,1.04,1.41,Low
3051240,65.33,10.15,1.03,0.83,1.11,1.48,Low
3051303,57.63,10.07,1.06,0.73,0.95,1.29,Medium
3051312,59.69,10.06,1.05,0.75,0.99,1.34,Medium
3051321,62.33,10.05,1.02,0.79,1.05,1.41,Low
3051330,65.23,10.05,1,0.83,1.10,1.48,Low
3051402,60.82,10.23,1.09,0.77,1.02,1.37,Medium
3051411,62.99,10.2,1.06,0.80,1.06,1.42,Medium
3051420,65.54,10.16,1.03,0.83,1.11,1.49,Low
3051501,64.27,10.37,1.11,0.81,1.09,1.46,Medium
3051510,66.33,10.41,1.1,0.84,1.13,1.51,Low
3051600,67.71,10.63,1.16,0.86,1.15,1.54,Medium
3052005,52.8,10.07,1.1,0.67,0.86,1.17,Medium
3052014,54.93,9.98,1.06,0.69,0.90,1.22,Medium
3052023,57.53,9.92,1.02,0.73,0.95,1.29,Medium
3052032,60.48,10,1.02,0.76,1.01,1.36,Medium
3052041,63.59,10.15,1.04,0.80,1.07,1.44,Low
3052050,66.84,10.37,1.09,0.85,1.14,1.52,Low
3052104,55.15,10.27,1.15,0.70,0.90,1.23,Medium
3052113,57.23,10.16,1.1,0.72,0.94,1.28,Medium
3052122,59.82,10.09,1.05,0.76,1.00,1.35,Medium
3052131,62.73,10.17,1.05,0.79,1.05,1.42,Low
3052140,65.81,10.28,1.07,0.83,1.12,1.50,Low
3052203,57.86,10.26,1.12,0.73,0.96,1.30,Medium
3052212,59.84,10.21,1.09,0.76,1.00,1.35,Medium
3052221,62.44,10.17,1.06,0.79,1.05,1.41,Medium
3052230,65.3,10.17,1.04,0.83,1.11,1.48,Low
3052302,60.77,10.31,1.12,0.77,1.02,1.37,Medium
3052311,62.87,10.23,1.07,0.80,1.06,1.42,Medium
3052320,65.37,10.17,1.04,0.83,1.11,1.48,Low
3052401,64,10.36,1.1,0.81,1.08,1.45,Medium
3052410,66,10.35,1.08,0.84,1.12,1.50,Low
3052500,67.27,10.55,1.14,0.85,1.15,1.53,Low
3053004,56.46,10.31,1.15,0.71,0.93,1.26,Medium
3053013,58.52,10.2,1.1,0.74,0.97,1.31,Medium
3053022,61.11,10.14,1.06,0.77,1.02,1.38,Medium
3053031,63.98,10.17,1.05,0.81,1.08,1.45,Low
3053040,67.07,10.34,1.07,0.85,1.14,1.53,Low
3053103,58.8,10.44,1.17,0.74,0.98,1.32,Medium
3053112,60.79,10.37,1.13,0.77,1.02,1.37,Medium
3053121,63.33,10.3,1.09,0.80,1.07,1.43,Medium
3053130,66.18,10.32,1.07,0.84,1.12,1.50,Low
3053202,61.37,10.52,1.18,0.78,1.03,1.38,Medium
3053211,63.39,10.41,1.12,0.80,1.07,1.43,Medium
3053220,65.85,10.33,1.08,0.83,1.12,1.50,Low
3053301,64.31,10.49,1.14,0.81,1.09,1.46,Medium
3053310,66.25,10.43,1.11,0.84,1.13,1.51,Low
3053400,67.37,10.58,1.15,0.85,1.15,1.53,Medium
3054003,60.23,10.56,1.2,0.76,1.00,1.36,Medium
3054012,62.34,10.49,1.16,0.79,1.05,1.41,Medium
3054021,64.86,10.43,1.12,0.82,1.10,1.47,Medium
3054030,67.72,10.48,1.11,0.86,1.15,1.54,Low
3054102,62.54,10.74,1.24,0.79,1.05,1.41,Medium
3054111,64.56,10.66,1.19,0.82,1.09,1.46,Medium
3054120,67.05,10.58,1.15,0.85,1.14,1.53,Medium
3054201,65.15,10.77,1.22,0.82,1.10,1.48,Medium
3054210,67.06,10.71,1.19,0.85,1.14,1.53,Medium
3054300,67.95,10.81,1.22,0.86,1.16,1.55,Medium
3055002,64.15,10.87,1.26,0.81,1.08,1.45,Medium
3055011,66.24,10.83,1.24,0.84,1.12,1.51,Medium
3055020,68.76,10.8,1.2,0.87,1.18,1.57,Medium
3055101,66.45,11.02,1.3,0.84,1.13,1.51,Medium
3055110,68.45,11,1.27,0.87,1.17,1.56,Medium
3055200,68.97,11.13,1.31,0.87,1.18,1.57,Medium
3056001,68.14,11.18,1.34,0.86,1.16,1.55,Medium
3056010,70.28,11.19,1.32,0.89,1.21,1.61,Medium
3056100,70.41,11.36,1.38,0.89,1.21,1.61,Medium
3057000,72.23,11.5,1.41,0.92,1.24,1.66,Medium
3060006,51.03,10.1,1.13,0.64,0.82,1.13,High
3060015,53.22,10.06,1.1,0.67,0.86,1.18,Medium
3060024,55.88,10.02,1.06,0.71,0.92,1.25,Medium
3060033,58.85,10.09,1.06,0.74,0.98,1.32,Medium
3060042,61.99,10.26,1.09,0.78,1.04,1.40,Medium
3060051,65.25,10.45,1.12,0.83,1.11,1.48,Medium
3060060,68.61,10.68,1.17,0.87,1.17,1.57,Low
3060105,53.45,10.26,1.16,0.67,0.87,1.19,Medium
3060114,55.63,10.24,1.13,0.70,0.91,1.24,Medium
3060123,58.27,10.21,1.1,0.74,0.97,1.31,Medium
3060132,61.2,10.26,1.09,0.77,1.02,1.38,Medium
3060141,64.33,10.42,1.12,0.81,1.09,1.46,Medium
3060150,67.57,10.61,1.16,0.86,1.15,1.54,Medium
3060204,56.16,10.31,1.15,0.71,0.92,1.25,Medium
3060213,58.35,10.32,1.14,0.74,0.97,1.31,Medium
3060222,60.95,10.27,1.1,0.77,1.02,1.37,Medium
3060231,63.89,10.33,1.1,0.81,1.08,1.45,Medium
3060240,66.96,10.48,1.12,0.85,1.14,1.52,Low
3060303,59.22,10.33,1.13,0.75,0.98,1.33,Medium
3060312,61.37,10.34,1.12,0.78,1.03,1.38,Medium
3060321,63.99,10.34,1.1,0.81,1.08,1.45,Medium
3060330,66.87,10.38,1.09,0.85,1.14,1.52,Low
3060402,62.45,10.45,1.15,0.79,1.05,1.41,Medium
3060411,64.63,10.49,1.14,0.82,1.09,1.47,Medium
3060420,67.19,10.47,1.11,0.85,1.14,1.53,Low
3060501,65.87,10.63,1.17,0.83,1.12,1.50,Medium
3060510,67.99,10.66,1.17,0.86,1.16,1.55,Medium
3060600,69.34,10.86,1.22,0.88,1.19,1.58,Medium
3061005,54.08,10.35,1.18,0.68,0.88,1.20,Medium
3061014,56.22,10.31,1.15,0.71,0.92,1.26,Medium
3061023,58.82,10.24,1.11,0.74,0.98,1.32,Medium
3061032,61.75,10.29,1.1,0.78,1.04,1.39,Medium
3061041,64.85,10.44,1.12,0.82,1.10,1.47,Medium
3061050,68.09,10.64,1.16,0.86,1.16,1.55,Low
3061104,56.46,10.55,1.22,0.71,0.93,1.26,Medium
3061113,58.58,10.51,1.19,0.74,0.97,1.31,Medium
3061122,61.16,10.43,1.15,0.77,1.02,1.38,Medium
3061131,64.06,10.48,1.14,0.81,1.08,1.45,Medium
3061140,67.14,10.59,1.15,0.85,1.14,1.53,Medium
3061203,59.16,10.57,1.21,0.75,0.98,1.33,Medium
3061212,61.22,10.57,1.19,0.77,1.02,1.38,Medium
3061221,63.81,10.52,1.16,0.81,1.08,1.45,Medium
3061230,66.67,10.51,1.13,0.84,1.13,1.52,Low
3061302,62.1,10.61,1.2,0.79,1.04,1.40,Medium
3061311,64.22,10.59,1.17,0.81,1.08,1.46,Medium
3061320,66.76,10.53,1.14,0.85,1.14,1.52,Medium
3061401,65.34,10.69,1.2,0.83,1.11,1.48,Medium
3061410,67.39,10.69,1.18,0.85,1.15,1.53,Medium
3061500,68.63,10.88,1.23,0.87,1.17,1.57,Medium
3062004,57.4,10.58,1.23,0.73,0.95,1.29,Medium
3062013,59.43,10.48,1.18,0.75,0.99,1.34,Medium
3062022,62.01,10.42,1.14,0.78,1.04,1.40,Medium
3062031,64.87,10.44,1.12,0.82,1.10,1.47,Medium
3062040,67.94,10.59,1.15,0.86,1.16,1.55,Low
3062103,59.78,10.73,1.26,0.76,1.00,1.34,Medium
3062112,61.76,10.68,1.22,0.78,1.04,1.39,Medium
3062121,64.3,10.61,1.18,0.81,1.09,1.46,Medium
3062130,67.14,10.61,1.16,0.85,1.14,1.53,Medium
3062202,62.35,10.83,1.27,0.79,1.05,1.41,Medium
3062211,64.38,10.74,1.22,0.81,1.09,1.46,Medium
3062220,66.85,10.67,1.18,0.85,1.14,1.52,Medium
3062301,65.29,10.8,1.23,0.83,1.11,1.48,Medium
3062310,67.25,10.77,1.21,0.85,1.15,1.53,Medium
3062400,68.36,10.91,1.24,0.87,1.17,1.56,Medium
3063003,60.96,10.78,1.26,0.77,1.02,1.37,Medium
3063012,62.98,10.67,1.21,0.80,1.06,1.42,Medium
3063021,65.46,10.58,1.16,0.83,1.11,1.49,Medium
3063030,68.29,10.61,1.15,0.87,1.17,1.56,Low
3063102,63.29,10.97,1.31,0.80,1.07,1.43,Medium
3063111,65.26,10.86,1.25,0.83,1.11,1.48,Medium
3063120,67.71,10.77,1.2,0.86,1.15,1.54,Medium
3063201,65.89,11,1.29,0.83,1.12,1.50,Medium
3063210,67.77,10.93,1.26,0.86,1.16,1.54,Medium
3063300,68.68,11.04,1.29,0.87,1.17,1.57,Medium
3064002,64.69,11.03,1.31,0.82,1.09,1.47,Medium
3064011,66.69,10.94,1.27,0.84,1.13,1.52,Medium
3064020,69.16,10.85,1.22,0.88,1.18,1.58,Medium
3064101,67.01,11.19,1.35,0.85,1.14,1.53,Medium
3064110,68.94,11.12,1.31,0.87,1.18,1.57,Medium
3064200,69.52,11.29,1.36,0.88,1.19,1.59,Medium
3065001,68.52,11.3,1.37,0.87,1.17,1.56,Medium
3065010,70.56,11.24,1.34,0.89,1.21,1.61,Medium
3065100,70.81,11.49,1.42,0.90,1.22,1.62,Medium
3066000,72.48,11.59,1.44,0.92,1.25,1.66,Medium
3070005,55.76,10.56,1.23,0.70,0.92,1.24,Medium
3070014,57.93,10.56,1.21,0.73,0.96,1.30,Medium
3070023,60.54,10.52,1.18,0.77,1.01,1.36,Medium
3070032,63.46,10.57,1.17,0.80,1.07,1.44,Medium
3070041,66.55,10.7,1.19,0.84,1.13,1.51,Medium
3070050,69.8,10.9,1.23,0.88,1.20,1.60,Medium
3070104,58.16,10.76,1.28,0.73,0.96,1.30,Medium
3070113,60.34,10.75,1.26,0.76,1.01,1.36,Medium
3070122,62.92,10.71,1.22,0.80,1.06,1.42,Medium
3070131,65.82,10.75,1.21,0.83,1.12,1.50,Medium
3070140,68.89,10.89,1.23,0.87,1.18,1.57,Medium
3070203,60.84,10.81,1.27,0.77,1.02,1.37,Medium
3070212,63,10.82,1.26,0.80,1.06,1.43,Medium
3070221,65.58,10.8,1.23,0.83,1.11,1.49,Medium
3070230,68.43,10.83,1.22,0.87,1.17,1.56,Medium
3070302,63.81,10.83,1.26,0.81,1.08,1.45,Medium
3070311,65.98,10.86,1.25,0.84,1.12,1.50,Medium
3070320,68.52,10.83,1.22,0.87,1.17,1.56,Medium
3070401,67.01,10.91,1.26,0.85,1.14,1.53,Medium
3070410,69.15,10.95,1.25,0.88,1.18,1.58,Medium
3070500,70.34,11.08,1.28,0.89,1.21,1.61,Medium
3071004,58.78,10.83,1.29,0.74,0.98,1.32,Medium
3071013,60.87,10.79,1.27,0.77,1.02,1.37,Medium
3071022,63.42,10.74,1.23,0.80,1.07,1.44,Medium
3071031,66.28,10.76,1.21,0.84,1.13,1.51,Medium
3071040,69.34,10.87,1.22,0.88,1.19,1.58,Medium
3071103,61.17,11,1.33,0.77,1.02,1.38,Medium
3071112,63.24,11,1.31,0.80,1.06,1.43,Medium
3071121,65.77,10.94,1.27,0.83,1.12,1.49,Medium
3071130,68.61,10.92,1.25,0.87,1.17,1.57,Medium
3071202,63.77,11.09,1.34,0.81,1.08,1.44,Medium
3071211,65.87,11.07,1.32,0.83,1.12,1.50,Medium
3071220,68.37,11,1.28,0.87,1.17,1.56,Medium
3071301,66.72,11.08,1.31,0.84,1.13,1.52,Medium
3071310,68.76,11.09,1.3,0.87,1.18,1.57,Medium
3071400,69.82,11.18,1.32,0.88,1.20,1.60,Medium
3072003,62.03,11.06,1.35,0.78,1.04,1.40,Medium
3072012,64.04,10.97,1.3,0.81,1.08,1.45,Medium
3072021,66.52,10.88,1.25,0.84,1.13,1.51,Medium
3072030,69.33,10.91,1.24,0.88,1.19,1.58,Medium
3072102,64.39,11.25,1.39,0.82,1.09,1.46,Medium
3072111,66.38,11.18,1.35,0.84,1.13,1.51,Medium
3072120,68.83,11.09,1.3,0.87,1.18,1.57,Medium
3072201,67,11.29,1.38,0.85,1.14,1.53,Medium
3072210,68.92,11.26,1.36,0.87,1.18,1.57,Medium
3072300,69.8,11.34,1.38,0.88,1.20,1.60,Medium
3073002,65.55,11.26,1.38,0.83,1.11,1.49,Medium
3073011,67.47,11.15,1.33,0.85,1.15,1.54,Medium
3073020,69.9,11.05,1.28,0.89,1.20,1.60,Medium
