Position,EPC,σ(PC),V(R),R-L,L-M,M-H,Description
2214231,58.69,9.34,0.84,0.74,0.97,1.32,Low
2214240,61.94,9.21,0.78,0.78,1.04,1.40,Rollish
2214303,54.91,9.51,0.92,0.69,0.90,1.22,Medium
2214312,56.77,9.39,0.87,0.72,0.94,1.27,Low
2214321,58.94,9.45,0.88,0.74,0.98,1.32,Low
2214330,61.95,9.18,0.77,0.78,1.04,1.40,Rollish
2214402,58.13,9.68,0.94,0.73,0.96,1.30,Low
2214411,59.93,9.7,0.94,0.76,1.00,1.35,Low
2214420,62.39,9.43,0.84,0.79,1.05,1.41,Low
2214501,61.51,9.83,0.96,0.78,1.03,1.39,Low
2214510,63.42,9.81,0.94,0.80,1.07,1.44,Low
2214600,65,10.1,1.02,0.82,1.10,1.48,Low
2215005,50.52,9.54,0.97,0.64,0.81,1.11,Medium
2215014,52.61,9.62,0.97,0.66,0.85,1.17,Medium
2215023,55.17,9.58,0.94,0.70,0.90,1.23,Medium
2215032,58.04,9.63,0.93,0.73,0.96,1.30,Low
2215041,61.09,9.75,0.94,0.77,1.02,1.38,Low
2215050,64.31,9.99,0.99,0.81,1.09,1.46,Low
2215104,53.06,9.7,0.99,0.67,0.86,1.18,Medium
2215113,54.83,9.79,1,0.69,0.90,1.22,Medium
2215122,57.32,9.59,0.93,0.72,0.95,1.28,Low
2215131,60.05,9.74,0.95,0.76,1.00,1.35,Low
2215140,63.17,9.71,0.91,0.80,1.06,1.43,Low
2215203,55.86,9.87,1.02,0.71,0.92,1.25,Medium
2215212,57.65,9.73,0.96,0.73,0.95,1.29,Medium
2215221,59.82,9.8,0.97,0.76,1.00,1.35,Low
2215230,62.77,9.52,0.86,0.79,1.06,1.42,Low
2215302,58.87,9.96,1.02,0.74,0.98,1.32,Medium
2215311,60.58,9.94,1,0.77,1.01,1.36,Low
2215320,62.99,9.65,0.9,0.80,1.06,1.42,Low
2215401,62.02,10.04,1.02,0.78,1.04,1.40,Low
2215410,63.86,9.98,0.99,0.81,1.08,1.45,Low
2215500,65.34,10.25,1.06,0.83,1.11,1.48,Low
2216004,54.61,9.94,1.05,0.69,0.89,1.22,Medium
2216013,56.77,10.01,1.06,0.72,0.94,1.27,Medium
2216022,59.31,10.03,1.04,0.75,0.99,1.33,Medium
2216031,62.13,10.05,1.02,0.79,1.04,1.40,Low
2216040,65.17,10.21,1.05,0.83,1.10,1.48,Low
2216103,57.12,10.13,1.09,0.72,0.94,1.28,Medium
2216112,59,10.11,1.07,0.75,0.98,1.33,Medium
2216121,61.35,10.17,1.07,0.78,1.03,1.38,Medium
2216130,64.18,10.03,1,0.81,1.08,1.45,Low
2216202,59.98,10.24,1.1,0.76,1.00,1.35,Medium
2216211,61.61,10.29,1.1,0.78,1.03,1.39,Medium
2216220,63.99,10.03,1,0.81,1.08,1.45,Low
2216301,62.89,10.34,1.11,0.80,1.06,1.42,Medium
2216310,64.67,10.25,1.06,0.82,1.09,1.47,Low
2216400,65.99,10.48,1.13,0.84,1.12,1.50,Medium
2217003,58.8,10.31,1.13,0.74,0.98,1.32,Medium
2217012,60.96,10.43,1.15,0.77,1.02,1.37,Medium
2217021,63.5,10.45,1.14,0.80,1.07,1.44,Medium
2217030,66.29,10.5,1.13,0.84,1.13,1.51,Medium
2217102,61.29,10.49,1.17,0.78,1.03,1.38,Medium
2217111,63.14,10.59,1.18,0.80,1.06,1.43,Medium
2217120,65.55,10.49,1.13,0.83,1.11,1.49,Medium
2217201,64.05,10.65,1.19,0.81,1.08,1.45,Medium
2217210,65.82,10.59,1.16,0.83,1.12,1.50,Medium
2217300,67,10.76,1.21,0.85,1.14,1.53,Medium
2218002,62.99,10.71,1.22,0.80,1.06,1.42,Medium
2218011,65.21,10.8,1.23,0.83,1.10,1.48,Medium
2218020,67.72,10.86,1.23,0.86,1.15,1.54,Medium
2218101,65.47,10.89,1.26,0.83,1.11,1.49,Medium
2218110,67.38,10.94,1.26,0.85,1.15,1.53,Medium
2218200,68.25,10.99,1.27,0.86,1.17,1.56,Medium
2219001,67.25,11.08,1.31,0.85,1.15,1.53,Medium
2219010,69.45,11.18,1.33,0.88,1.19,1.59,Medium
2219100,69.69,11.24,1.35,0.88,1.19,1.59,Medium
221A000,71.5,11.46,1.4,0.91,1.23,1.64,Medium
2220009,36.25,8.63,0.83,0.45,0.53,0.76,High
2220018,38.11,8.4,0.76,0.48,0.56,0.80,Medium
2220027,40.69,8.22,0.69,0.51,0.61,0.87,Medium
2220036,43.73,8.23,0.67,0.55,0.67,0.94,Low
2220045,46.88,8.44,0.7,0.59,0.74,1.02,Low
2220054,50.18,8.71,0.74,0.63,0.80,1.10,Low
2220063,53.53,8.97,0.78,0.68,0.87,1.19,Low
2220072,57.01,9.22,0.82,0.72,0.94,1.28,Low
2220081,60.44,9.48,0.87,0.76,1.01,1.36,Low
2220090,63.96,9.73,0.91,0.81,1.08,1.45,Low
2220108,38.75,8.68,0.82,0.49,0.58,0.82,High
2220117,40.52,8.51,0.77,0.51,0.61,0.86,Medium
2220126,43.06,8.25,0.68,0.54,0.66,0.93,Medium
2220135,46.06,8.3,0.67,0.58,0.72,1.00,Low
2220144,49.2,8.45,0.68,0.62,0.78,1.08,Low
2220153,52.47,8.75,0.73,0.66,0.85,1.16,Low
2220162,55.83,8.97,0.77,0.70,0.92,1.25,Low
2220171,59.27,9.26,0.82,0.75,0.99,1.33,Low
2220180,62.72,9.48,0.85,0.79,1.05,1.42,Low
2220207,41.62,8.7,0.81,0.52,0.63,0.89,Medium
2220216,43.45,8.49,0.74,0.55,0.67,0.94,Medium
2220225,45.99,8.36,0.68,0.58,0.72,1.00,Low
2220234,48.85,8.29,0.65,0.62,0.78,1.07,Low
2220243,52.12,8.55,0.68,0.66,0.84,1.15,Low
2220252,55.22,8.73,0.71,0.70,0.90,1.23,Low
2220261,58.73,9.05,0.76,0.74,0.97,1.32,Low
2220270,61.99,9.24,0.79,0.78,1.04,1.40,Low
2220306,44.86,8.73,0.79,0.56,0.70,0.97,Medium
2220315,46.72,8.6,0.74,0.59,0.73,1.02,Medium
2220324,49.14,8.45,0.68,0.62,0.78,1.08,Low
2220333,52.2,8.5,0.67,0.66,0.84,1.16,Low
2220342,55.16,8.6,0.67,0.70,0.90,1.23,Rollish
2220351,58.58,8.93,0.73,0.74,0.97,1.31,Rollish
2220360,61.71,9.1,0.76,0.78,1.03,1.39,Rollish
2220405,48.15,8.87,0.8,0.61,0.76,1.05,Medium
2220414,50.12,8.83,0.77,0.63,0.80,1.10,Low
2220423,52.61,8.76,0.73,0.66,0.85,1.17,Low
2220432,55.38,8.69,0.7,0.70,0.91,1.23,Low
2220441,58.64,8.94,0.74,0.74,0.97,1.32,Rollish
2220450,61.67,9.08,0.75,0.78,1.03,1.39,Rollish
2220504,51.71,9.1,0.83,0.65,0.83,1.14,Low
2220513,53.62,9.11,0.82,0.68,0.87,1.19,Low
2220522,56.01,9.03,0.78,0.71,0.92,1.25,Low
2220531,58.98,9.07,0.77,0.75,0.98,1.32,Low
2220540,61.87,9.13,0.76,0.78,1.04,1.40,Rollish
2220603,55.24,9.39,0.89,0.70,0.90,1.23,Low
2220612,57.25,9.42,0.88,0.72,0.95,1.28,Low
2220621,59.67,9.35,0.84,0.75,0.99,1.34,Low
2220630,62.35,9.32,0.81,0.79,1.05,1.41,Low
2220702,58.96,9.65,0.93,0.75,0.98,1.32,Low
2220711,60.89,9.7,0.93,0.77,1.02,1.37,Low
2220720,63.25,9.67,0.9,0.80,1.07,1.43,Low
2220801,62.62,9.98,1,0.79,1.05,1.42,Low
2220810,64.65,10.02,1,0.82,1.09,1.47,Low
2220900,66.41,10.23,1.05,0.84,1.13,1.51,Low
2221008,39.51,8.91,0.88,0.50,0.59,0.84,High
2221017,41.22,8.79,0.83,0.52,0.62,0.88,Medium
2221026,43.8,8.45,0.72,0.55,0.68,0.95,Medium
2221035,46.7,8.56,0.73,0.59,0.73,1.02,Low
2221044,49.88,8.63,0.72,0.63,0.80,1.10,Low
2221053,53.07,9,0.8,0.67,0.86,1.18,Low
2221062,56.5,9.12,0.8,0.71,0.93,1.26,Low
2221071,59.85,9.48,0.88,0.76,1.00,1.35,Low
2221080,63.39,9.62,0.89,0.80,1.07,1.43,Low
2221107,41.9,9.08,0.91,0.53,0.64,0.90,High
2221116,43.68,8.66,0.78,0.55,0.67,0.94,Medium
2221125,45.92,8.74,0.78,0.58,0.72,1.00,Medium
2221134,49.07,8.38,0.66,0.62,0.78,1.08,Low
2221143,51.96,8.85,0.77,0.66,0.84,1.15,Low
2221152,55.41,8.78,0.72,0.70,0.91,1.24,Low
2221161,58.52,9.34,0.85,0.74,0.97,1.31,Low
2221170,62.17,9.27,0.8,0.79,1.04,1.40,Low
2221206,44.72,8.95,0.85,0.56,0.69,0.97,Medium
2221215,46.35,8.93,0.83,0.58,0.73,1.01,Medium
2221224,48.95,8.44,0.68,0.62,0.78,1.07,Low
2221233,51.59,8.74,0.74,0.65,0.83,1.14,Low
2221242,54.95,8.54,0.66,0.69,0.90,1.22,Rollish
2221251,57.9,9.14,0.79,0.73,0.96,1.30,Low
2221260,61.51,9.01,0.73,0.78,1.03,1.39,Rollish
2221305,47.79,8.97,0.83,0.60,0.76,1.04,Medium
2221314,49.69,8.75,0.76,0.63,0.79,1.09,Low
2221323,51.9,8.87,0.77,0.65,0.84,1.15,Low
2221332,55,8.52,0.65,0.69,0.90,1.23,Rollish
2221341,57.83,9,0.76,0.73,0.96,1.30,Low
2221350,61.3,8.88,0.7,0.78,1.03,1.38,Rollish
2221404,51.08,9.1,0.84,0.64,0.82,1.13,Medium
2221413,52.89,9.16,0.84,0.67,0.86,1.17,Low
2221422,55.46,8.79,0.72,0.70,0.91,1.24,Low
2221431,58.05,9.09,0.78,0.73,0.96,1.30,Low
2221440,61.37,8.89,0.7,0.78,1.03,1.38,Rollish
2221503,54.53,9.3,0.87,0.69,0.89,1.21,Low
2221512,56.5,9.22,0.83,0.71,0.93,1.26,Low
2221521,58.69,9.4,0.86,0.74,0.97,1.32,Low
2221530,61.72,9.04,0.74,0.78,1.03,1.39,Rollish
2221602,58.07,9.58,0.92,0.73,0.96,1.30,Low
2221611,59.96,9.68,0.93,0.76,1.00,1.35,Low
2221620,62.46,9.39,0.83,0.79,1.05,1.41,Low
2221701,61.73,9.81,0.96,0.78,1.03,1.39,Low
2221710,63.71,9.81,0.94,0.81,1.07,1.44,Low
2221800,65.4,10.14,1.02,0.83,1.11,1.49,Low
2222007,43.01,9.17,0.92,0.54,0.66,0.93,Medium
2222016,44.75,8.94,0.84,0.56,0.70,0.97,Medium
2222025,47.23,8.81,0.79,0.59,0.74,1.03,Medium
2222034,50.12,8.7,0.74,0.63,0.80,1.10,Low
2222043,53.21,8.95,0.78,0.67,0.86,1.18,Low
2222052,56.45,9.08,0.79,0.71,0.93,1.26,Low
2222061,59.76,9.41,0.86,0.76,1.00,1.34,Low
2222070,63.2,9.56,0.87,0.80,1.06,1.43,Low
2222106,45.46,9.2,0.91,0.57,0.71,0.99,Medium
2222115,46.95,9.18,0.89,0.59,0.74,1.02,Medium
2222124,49.52,8.67,0.74,0.62,0.79,1.09,Low
2222133,52.14,8.93,0.78,0.66,0.84,1.15,Low
2222142,55.47,8.75,0.71,0.70,0.91,1.24,Low
2222151,58.39,9.3,0.84,0.74,0.97,1.31,Low
2222160,62.01,9.2,0.78,0.78,1.04,1.40,Rollish
2222205,48.12,9.24,0.9,0.61,0.76,1.05,Medium
2222214,49.89,8.92,0.8,0.63,0.80,1.10,Medium
2222223,51.94,9.03,0.81,0.65,0.84,1.15,Low
2222232,55.14,8.6,0.67,0.70,0.90,1.23,Rollish
2222241,57.78,9.09,0.78,0.73,0.96,1.29,Low
2222250,61.41,8.93,0.71,0.78,1.03,1.39,Rollish
2222304,51.1,9.2,0.87,0.64,0.82,1.13,Medium
2222313,52.82,9.2,0.85,0.67,0.86,1.17,Low
2222322,55.39,8.76,0.71,0.70,0.91,1.23,Low
2222331,57.8,9.04,0.77,0.73,0.96,1.30,Low
2222340,61.29,8.83,0.68,0.78,1.03,1.38,Rollish
2222403,54.38,9.28,0.86,0.69,0.89,1.21,Low
2222412,56.25,9.14,0.81,0.71,0.93,1.26,Low
2222421,58.34,9.31,0.84,0.74,0.97,1.31,Low
2222430,61.49,8.92,0.71,0.78,1.03,1.39,Rollish
2222502,57.71,9.49,0.9,0.73,0.95,1.29,Low
2222511,59.55,9.59,0.91,0.75,0.99,1.34,Low
2222520,62.08,9.23,0.79,0.79,1.04,1.40,Low
2222601,61.29,9.68,0.92,0.78,1.03,1.38,Low
