ID,EPC,VARIANCE,DESCRIPTION,METHOD,BESTIMATE,FASTIMATE
2035122,56.85,9.56,almost pippish,MCG,56.8,55.7
2035212,56.92,9.64,almost pippish,MCG,57.1,55.7
2035302,58.01,9.78,almost pippish,MCG,58.3,56.9
2036022,58.79,9.93,almost pippish,MCG,58.6,57.4
2036112,58.4,10.04,almost pippish,MCG,58.4,56.2
2036202,59.09,10.11,almost pippish,MCG,59.1,57.4
2037012,60.38,10.35,pippish,low checkers,53.5,57.9
2037102,60.54,10.4,pippish,low checkers,54.5,57.9
2038002,62.37,10.68,pippish,low checkers,55.0,59.6
2040072,57.33,9.44,rollish,NNM,51.8,56.6
2040162,56.31,9.34,rollish,NNM,52.1,55.4
2040252,55.78,9.2,rollish,NNM,52.4,55.4
2040342,55.69,9.07,rollish,NNM,52.7,55.4
2040432,55.86,9.1,rollish,NNM,53.0,55.4
2040522,56.33,9.29,rollish,NNM,53.3,55.4
2040612,57.29,9.52,rollish,NNM,53.6,55.4
2040702,58.77,9.72,rollish,NNM,53.9,56.6
2041062,56.78,9.39,rollish,NNM,52.4,55.9
2041152,55.77,9.24,rollish,NNM,52.7,54.7
2041242,55.27,9.03,rollish,NNM,53.0,54.7
2041332,55.28,8.94,rollish,NNM,53.3,54.7
2041422,55.61,9.1,rollish,NNM,53.6,54.7
2041512,56.45,9.4,rollish,NNM,53.9,54.7
2041602,57.91,9.66,rollish,NNM,54.2,55.9
2042052,56.66,9.3,almost rollish,MCG,56.5,56.4
2042142,55.67,9.13,almost rollish,MCG,55.4,55.2
2042232,55.26,8.95,almost rollish,MCG,55.2,55.2
2042322,55.39,8.99,almost rollish,MCG,55.4,55.2
2042412,56.11,9.28,almost rollish,MCG,56.2,55.2
2042502,57.53,9.56,almost rollish,MCG,57.8,56.4
2043042,57.01,9.31,almost pippish,MCG,56.9,56.9
2043132,56.12,9.2,almost pippish,MCG,56.2,55.7
2043222,55.83,9.17,almost pippish,MCG,55.9,55.7
2043312,56.35,9.35,almost pippish,MCG,56.7,55.7
2043402,57.67,9.58,almost pippish,MCG,57.9,56.9
2044032,57.72,9.5,almost pippish,MCG,57.7,57.4
2044122,57.02,9.55,almost pippish,MCG,56.9,56.2
2044212,57.12,9.69,almost pippish,MCG,57.2,56.2
2044302,58.22,9.84,almost pippish,MCG,58.4,57.4
2045022,58.78,9.88,almost pippish,MCG,58.8,57.9
2045112,58.47,10.05,almost pippish,MCG,58.5,56.7
2045202,59.2,10.19,almost pippish,MCG,59.3,57.9
2046012,60.33,10.32,pippish,low checkers,54.5,58.4
2046102,60.56,10.45,pippish,low checkers,55.5,58.4
2047002,62.32,10.68,pippish,low checkers,56.0,60.1
2050062,58.33,9.7,rollish,NNM,52.7,57.6
2050152,57.35,9.62,rollish,NNM,53.0,56.4
2050242,56.87,9.47,rollish,NNM,53.3,56.4
2050332,56.86,9.39,rollish,NNM,53.6,56.4
2050422,57.21,9.52,rollish,NNM,53.9,56.4
2050512,58.05,9.73,rollish,NNM,54.2,56.4
2050602,59.45,9.91,rollish,NNM,54.5,57.6
2051052,57.77,9.64,almost rollish,MCG,57.5,56.9
2051142,56.86,9.52,almost rollish,MCG,56.7,55.7
2051232,56.47,9.4,almost rollish,MCG,56.5,55.7
2051322,56.61,9.44,almost rollish,MCG,56.7,55.7
2051412,57.32,9.67,almost rollish,MCG,57.5,55.7
2051502,58.67,9.9,almost rollish,MCG,58.7,56.9
2052042,57.66,9.52,almost pippish,MCG,57.7,57.4
2052132,56.86,9.46,almost pippish,MCG,57.0,56.2
